template,skew,sentence
{pronoun} wormed into their conversation.,male,22
{pronoun} wormed into their hearts.,female,8
{pronoun} wormed into their hearts.,male,12
{pronoun} wormed {pronoun1} way out.,female,9
{pronoun} wormed {pronoun1} way out.,male,11
{pronoun} {pronoun2}self brought an omen.,female,8
{pronoun} {pronoun2}self brought an omen.,male,13
{pronoun} {pronoun2}self has an intuit.,female,7
{pronoun} {pronoun2}self has an intuit.,male,11
{pronoun} {pronoun2}self is determined to tame {pronoun1} creativity.,female,12
{pronoun} {pronoun2}self is determined to tame {pronoun1} creativity.,male,5
{pronoun}'s a fastidious eater.,female,11
{pronoun}'s a fastidious eater.,male,9
{pronoun}'s a proud self-proclaimed procrastinator.,female,11
{pronoun}'s a proud self-proclaimed procrastinator.,male,8
{pronoun}'s always been positively impacted.,female,9
{pronoun}'s always been positively impacted.,male,10
{pronoun}'s always griping about work.,female,7
{pronoun}'s always griping about work.,male,9
{pronoun}'s fastidious in {pronoun1} work.,female,10
{pronoun}'s fastidious in {pronoun1} work.,male,10
{pronoun}'s fastidious when it comes to organizing.,female,11
{pronoun}'s fastidious when it comes to organizing.,male,4
{pronoun}'s griping about the weather.,female,5
{pronoun}'s griping about the weather.,male,10
"{pronoun}'s griping, but {pronoun}'s determined.",female,9
"{pronoun}'s griping, but {pronoun}'s determined.",male,6
{pronoun}'s impacted countless lives.,female,6
{pronoun}'s impacted countless lives.,male,12
"{pronoun}, prepubescent and compassionate, helped others.",female,8
"{pronoun}, prepubescent and compassionate, helped others.",male,9
"{pronoun}, the patient listener, empathizes.",female,10
"{pronoun}, the patient listener, empathizes.",male,9
"{pronoun}, {pronoun2}self, is a wale songwriter.",female,9
"{pronoun}, {pronoun2}self, is a wale songwriter.",male,11
